AMZN,GE,GOOG,JPM,LIN,LLY,MSFT,NEE,PLD,WMT,XOM
1069277369487.7164,134212062931.37823,738933306320.4817,70596768379.71555,192750829401.46942,204492883845.7934,5943966711348.342,49623110679.8882,,78289896986.70866,62966640994.702515
1053078346712.0435,130094374476.95522,729434079819.1284,69443560127.53212,188369847411.26996,201495180887.64752,5821979623947.14,49324170835.4845,,77403529468.85814,62631931214.941986
1051307611120.7526,130737749414.27542,724569499806.0857,69075516672.35721,190495602014.1367,203791656136.16858,5821515670327.065,48838074807.2849,,76639444393.4328,62729884771.48827
1041494997323.2775,129193621292.47893,722152756737.5383,69020307441.09663,187053422204.37784,203002778573.99146,5821051344949.282,49027839098.46718,,76462758877.40964,62672736163.86352
1036073379516.6016,130351742626.88702,723326977147.3904,69014165244.55737,195944787830.3502,203739063335.71655,5896656453620.557,49846660198.322975,,78283320061.48593,63217725520.032166
999180029443.9476,127006077844.46509,703297212326.2703,67137159901.0713,194962875481.01593,200495917679.05905,5721329198461.4375,50670670808.78033,,76731611441.41707,62515859522.3781
1008740445791.9569,132796613835.9355,696096657483.4235,67670820198.09059,195221821049.94797,201495180887.64752,5785337325419.396,50662882092.1828,,77038882353.04855,62598436951.9695
1025750933727.586,132024549775.03726,723289673976.0928,67413195205.43682,195157102442.4381,202687221771.2793,5866807655455.985,50652467465.4181,,76723929668.62628,63060836834.58307
1045716105081.9489,130351742626.88702,732465874921.6741,68278089186.144875,202483874834.8097,205781096897.898,6002280997244.556,51237351124.245605,,77822408952.20366,63052594748.7767
1024572255697.595,128678905187.0639,722103082374.7432,67946850076.48745,203940550368.39124,204511835165.26416,5962244179081.477,51723447152.44521,,77476729176.61824,62681006352.251785
1019073933061.3469,127134736676.37027,707534274315.4148,68302619990.521194,199904947701.5888,204899643873.4586,5876117955504.977,51819622224.99154,,77983726180.81018,62672744193.17264
1018279030121.9526,128164189081.6489,714231544440.5525,68535725030.73599,202073812473.34912,205516673990.7091,5907774983163.171,51702649053.782196,,77676474236.51894,62961767204.069824
1019463145244.5524,127392094729.07777,715343624497.7094,67977517651.43435,203120478999.63953,207984707792.09167,5943622463710.37,52490270780.29588,,78529103597.94572,62392003414.62739
995233034800.3341,123017038124.72296,708727122611.315,66640293097.63214,199710702955.44348,205922148448.6846,5874257308174.47,52906170443.823326,,78244920681.20212,60930468423.00165
999508931722.9857,121601558737.60736,704191824848.5948,67296629120.40774,202710434422.9021,205886860282.93225,5877049952079.917,52864583147.887695,,78867111084.41046,61186434768.27311
1006717680046.3573,120443447500.42357,704614293928.3595,66566678980.62848,198879818475.02206,204071115875.34607,5873324939841.82,52292722223.211266,,78675062022.80574,59956103732.6087
997266842026.3083,120572136624.00162,693624030756.7316,66382662679.0097,197477066222.00385,203595108419.67566,5816528912426.684,51655854444.464226,,78444627806.42235,59584531394.70202
995693514720.503,121858916790.31488,694549689755.8031,65671106573.03618,197908683667.91122,204317930811.16693,5853306530760.281,51713050328.4613,,78498371764.94753,59427642709.25293
973080562913.2742,121472859516.80502,685653096697.7493,64996371090.48617,195756500966.4571,204388434919.65536,5757869635377.081,51849068024.425415,,77922262514.81378,58436765744.66535
927920406295.5925,122630980851.21312,643779457430.2612,65303073969.79861,203053323885.05936,205851629895.59293,5579100647353.661,52207433551.12068,,78321728925.43987,59353315394.77701
948132254359.2338,128678905187.0639,654229227511.2848,67315044858.08817,207466122744.95792,207244291873.8356,5733661516921.954,52155128981.14685,,78782602100.0417,60765317578.473404
953033165989.1519,127263435897.1726,647500863510.199,67554264964.998856,208984031080.31372,206292320296.3045,5857962052542.485,53533678410.567726,,80211392871.78786,60261618944.42774
961727495308.382,127649452781.7853,648817945112.2883,67701482347.068825,213971472129.61908,207138470710.3883,5950605560504.821,53824037314.62854,,80741416227.01193,61359847771.88051
988956204150.0964,128421526939.90782,662299510295.8574,66959269518.08575,216898855343.34036,208636968296.68152,6117269745785.262,53465667337.238075,,81471175158.46658,61582805627.38092
1019983935068.8888,129322290221.6084,671208569343.8112,67683082887.29442,217300007558.50732,200845043739.73618,6173136378929.417,53211937654.66166,,82592685534.91115,61855284246.847015
1021666840702.6543,130223043406.08469,670177257525.3976,67891651697.16422,217701124204.22803,197812861513.62024,6149860257049.23,52832636057.75222,,82915291541.11386,61797469206.56573
1017072999333.7607,132281897730.52048,669127317820.9358,67026741438.55015,218677007532.41748,203154418018.96408,6121461685705.1,53507530576.27601,,83591278063.033,61128639801.26461
1025284933067.2299,132667955004.03033,676421012094.0236,67192358280.39452,219815407660.66882,197125370621.69107,6160102553673.162,53565073614.49858,,83460725860.27007,61665358969.04498
1024939552215.2085,131638492501.52742,674296295503.7024,67364122744.74683,219782861617.32092,196984319070.90445,6166154025650.382,54137953748.375496,,83783341350.1429,61392872320.269775
1033907994649.4963,129322290221.6084,678738359037.7794,66996073863.60324,218210745445.83154,199910694578.1764,6184777228052.322,53983608089.58359,,83852458337.91975,62003902743.90784
1042317253020.8726,134083424293.92163,685634468811.7012,67910051156.93863,221203185176.80237,202114319916.9733,6292318182663.086,53735094621.77992,,84228865204.66832,62540633955.651886
1046384867472.8209,133054002180.31589,684845461709.5175,67419331976.00741,217484346213.86316,203136781158.38953,6316989511222.87,53949618130.35196,,84205829369.96608,62193836051.01899
1051537892904.6262,136785663652.90192,690492792130.1934,67591074736.48502,219381709402.15396,203718537554.49097,6375649903545.598,53986233999.750755,,84743553465.32117,63259012227.50059
1047760870140.7191,134855458063.147,696991317404.9492,67131017704.532036,219154029376.5037,203595108419.67566,6376580041331.996,54292277153.69141,,85365729643.02435,64150819561.57491
1049186141232.41,132281897730.52048,693040025199.4802,66652561212.80464,220509367557.62817,203841923355.49652,6414288912725.119,54462315963.75353,,85450267078.40346,63539757020.700386
1029654013392.4369,131509803377.94937,674917556833.05,66100501456.01093,219880446393.19522,203365959233.63583,6211777618655.1875,53944384112.798416,,85050805409.61241,62978275463.60989
1040376712845.0325,132153218704.16673,670848240616.7416,66542148176.25216,217495177110.25598,196279162429.19424,6235054855808.499,53120382403.73146,,84620654584.33868,63250758097.730545
1043912495992.2698,133826056143.98984,668493590501.6882,66762963397.41977,216335044050.32642,196508369393.64706,6245295293643.889,53507530576.27601,,84574535496.58362,62606683052.43043
1038074313244.1876,135275835802.0191,671537851594.1338,68578666146.82407,217712044024.23654,195309611769.50162,6236450434245.806,53588617792.09912,,84874124635.42432,63275540560.313446
1053730630529.9323,136950672492.25166,682124273572.0452,69731858121.10147,220097313307.1758,198747196230.57678,6316524070571.962,53368891420.839935,,84973978198.03444,63217725520.032166
1060374757697.7833,136821821813.08498,690387186710.0525,69805466812.13646,220682786392.97543,201320993416.9936,6358424881884.923,54321068700.93108,,85726782447.86145,62524121681.45725
1062945749673.4987,136693011522.81544,696804896346.8638,69694267010.12622,220758691591.34094,201708831014.39453,6399392581349.816,54600955119.18961,,86279841637.78778,63118639830.90068
1065089218875.0117,135275835802.0191,703023813734.0922,70108165326.56729,219479258608.582,198888233336.76013,6380768263674.751,54438776236.84819,,86018699297.58147,62862665456.320114
1070247681399.4258,131410800093.78438,693555681108.687,69725167901.72612,218655310170.18555,196596495918.10678,6376116831227.339,54705604315.394066,,86587131516.75948,63151672408.59907
1089971696784.6974,132054982809.04779,698824054916.2452,70021675385.89961,217896311540.6998,199346575042.6495,6352838850558.611,54451856830.03685,,86710049365.08218,63110393730.43976
1105929563591.279,131410800093.78438,708546910848.579,69817821742.80774,218763708057.72955,201902749813.095,6417549227827.725,54797155115.62906,,86786857609.31995,64002168947.277626
1096972078989.7872,130251305536.87283,710864257792.3348,70484982573.08849,219891277289.58807,193599587413.13992,6443153668235.574,55037804205.01682,,87508934767.98381,64051721828.47976
1102415696109.6338,133600989014.56224,711292936167.449,71226289265.30296,221159826021.7848,190902361091.9078,6466429418358.052,54600955119.18961,,88031247899.40675,64101262665.71822
1107892103080.2898,132312633681.25972,714672641406.3654,70361438692.3443,221257410797.6591,191219709025.42358,6466429418358.052,54632354773.81567,,88323164749.12677,63647120927.52925
1101812680715.5378,133729809402.05606,716685590680.3972,71115089463.29272,219652801936.99124,191836724698.07086,6381701375522.816,54378611739.153656,,88154175231.39957,62697526655.75554
1092016461843.4675,128576428457.74312,712193805384.324,70417038593.34943,218817898109.13998,188786920055.98364,6343992504129.694,54909637535.383026,,88031247899.40675,62325938259.23062
1084270445122.7762,129607092529.93655,712181386793.6252,70837089958.2671,220791202065.24258,190990530950.17728,6350974113893.3125,55550510939.80879,,88123457623.90654,61797469206.56573
1076935639898.4609,129349451754.94891,702098154735.0206,70139039088.32382,220509367557.62817,188258045352.39932,6360285157457.721,54862544729.48674,,87493552255.06201,61921329328.97099
1088508031454.4309,131539670967.39966,707049664882.955,70589996770.81007,220726145547.99304,189104253544.89618,6444549990188.298,54765751010.30781,,86663939760.99724,61987390469.7132
1093365028105.5864,137208333461.68788,712106827850.2313,71881095164.91241,224239072986.40652,190778960846.299,6484587551866.793,54226900891.91932,,86103198798.28012,62235122758.48741
1096829543515.8602,137594824915.8422,706888128405.4684,72171433322.7033,219826256341.7848,191307835549.8833,6551162665801.205,54948865962.863396,,86034053359.49292,62226864614.06281
1082033876166.2863,134373971922.8709,703353095984.4148,71479562631.07997,216725383153.82367,190073818649.19205,6526486876148.92,54313217674.60077,,86203042877.22012,61871808565.005325
1065165923704.5839,135404635995.06433,776843234791.8021,71794605224.24475,217885498429.03012,190867130704.56848,6580025934280.827,54716054547.72035,,86817556249.47275,61772710831.91017
1048391238293.0157,133729809402.05606,770009265370.5754,71566041719.8103,216595287904.04773,191660413870.73843,6565592069494.766,55294168699.1508,,86241461224.84418,62210340295.90451
1040760404288.0507,135533486674.23102,761143718789.2687,71405427621.08359,213049903345.90204,191607561067.4278,6533934670078.862,54773610938.02852,,86080153479.90776,62218602454.983665
1023355267076.6072,134631663183.97998,755887763572.4093,71658717264.76663,207390181977.14612,192065888328.71393,6343992504129.694,54192879777.8213,,84789625134.72566,61401130464.694374
1017072999333.7607,129864803985.49422,751122627083.3591,69768385742.21658,206457746727.58997,194815981897.8599,6427325712043.04,55001179434.22762,,84021466822.98718,59832247624.858
999487016057.3936,128834119718.8522,741791146354.8419,69762227267.7713,203519497048.02957,198183076695.0499,6373320469744.808,55302010824.09072,,84036820884.89865,59245979590.530045
967631508700.8188,124453762071.74506,715902792873.563,67686588063.05798,206685462322.68652,191642748120.95737,6154979732451.509,54423074184.18757,,81286803127.81758,58032160829.06028
980075508025.7554,123294247320.38492,726855800273.0945,68217855507.89194,204657968315.1735,196384940258.83176,6270435036916.248,55299393815.31395,,82400650698.81158,58593662459.42356
983128895587.2317,121877061502.36429,729365730171.084,66735258401.369,206848103615.8104,195891353720.9998,6297904213989.397,55683929429.77693,,83115055568.35477,58213811903.81949
1004777056222.9386,122263593345.41577,748507091765.2289,67865742696.74464,208832185114.1364,200915533403.62134,6465963977707.145,56298654999.91098,,83771202252.39943,59766182469.46123
990902265066.1238,117883185212.18718,738075949570.2535,67791607686.74825,208138349710.23904,200562969527.36948,6411030828168.764,56628255683.537766,,82813968009.63637,58494560711.67385
978480265054.358,116594880365.0061,729813036432.2462,66519044401.63717,208387691528.675,200263287343.63474,6321646148278.199,56358823948.30072,,81223803107.26302,58210323169.0091
1000090031451.4895,120459885781.56795,743828885411.0703,67544503647.35387,209146636803.9913,203965338045.70856,6452464711799.982,56403290844.02984,,82914343174.10265,58929287580.42318
966441956485.6104,116337209298.3456,723339395738.0891,64739939810.940735,201275207265.42853,195518134062.09305,6258151418715.531,56230639475.88613,,81980296504.76363,56555069051.024574
973656141901.5907,103196126259.79987,725184551840.084,64987032998.39777,202359417342.26944,195411778448.32535,6244138383655.37,56803510708.37264,,86990206463.86322,56220668399.66496
982673936407.25,113245196887.31668,731608518171.4459,66543765114.91709,204690496573.79825,195925847433.57312,6358577302545.363,56902912534.93796,,87221788204.33017,57098460574.67937
995583852744.9642,111699160390.12936,744562008855.1094,67142971113.52142,205037440952.83163,199489085498.36487,6465073989753.252,57276997917.074646,,87854766282.29102,58059857930.85187
987503496652.6261,107962985458.28563,734770755875.5299,66290491749.140076,203497870824.6902,196794516984.1317,6411357974952.149,57321464812.80376,,86496154669.37427,57708728213.95152
999651467196.9126,105128623919.46864,740088851445.0844,66475799431.30334,204636253168.2184,197592234643.50098,6482826163844.428,57878633992.62965,,86472976579.62033,58285569839.37867
989301585002.1178,105515135568.07155,739020283854.5745,67161506222.51269,202890718161.38177,197858159789.4284,6435648623618.539,57972810703.031815,,86388069281.10686,58160168089.62336
959129066926.8872,102680794223.70314,715262856258.966,65493596007.85783,199778925153.4121,194135352192.47693,6230593763307.784,58046051343.21981,,85554378808.89389,56421296746.51706
969681710852.1979,103711448198.6723,726197235772.4493,66018683274.371796,200494582412.6034,198159517547.14075,6326815810971.11,58495985472.93087,,86449845908.21696,56722247296.10431
965822462518.5311,102165462187.60643,725544880567.1536,65320610700.5538,200299395076.13162,196298142637.87152,6340360431318.696,58597999857.57775,,86781755394.79964,56170509305.62466
967149113115.0579,102294292672.32452,727520526669.888,65975432878.06928,200548754679.29068,196723622871.3554,6331953502501.1,58185015399.40539,,87013356102.60681,56580136554.081055
979291562919.1571,104484471495.8781,741082907491.4015,67470374063.32616,203465342566.06543,198992725596.70792,6451530112921.083,58166593971.978424,,88063207867.68448,57207133258.89394
973749325304.1462,106288138670.82877,738131833228.3981,67865742696.74464,205780095421.7509,200269137407.9531,6439385532103.305,57629978102.57962,,88202143634.82649,57248937856.80027
981177313931.017,107318822937.4708,725886581408.1749,67062661351.17374,203950082979.99478,202024127814.24808,6354373466378.857,59334545405.99242,,88495473551.3932,57315817987.0722
