AMZN,GE,GOOG,JPM,LIN,LLY,MSFT,NEE,PLD,WMT,XOM
76.95649719238281,37.57956314086914,52.29249954223633,84.31982421875,144.78201293945312,105.79736328125,95.8460464477539,37.5864143371582,49.94148635864258,28.53463363647461,53.46561813354492
75.01399993896484,37.626243591308594,50.803001403808594,83.12150573730469,140.25990295410156,102.50961303710938,92.32003784179688,37.493465423583984,49.53866958618164,28.387897491455078,52.64472579956055
78.76950073242188,38.419857025146484,53.535499572753906,86.1858139038086,144.25706481933594,105.59476470947266,96.61378479003906,38.18397903442383,50.790916442871094,28.565202713012695,54.58572006225586
81.47550201416016,40.80066680908203,53.419498443603516,86.24574279785156,144.12815856933594,106.16572570800781,96.73699951171875,38.12864685058594,51.61408996582031,28.90147590637207,54.86956787109375
82.8290023803711,39.96038055419922,53.81399917602539,86.08308410644531,145.656982421875,107.14192962646484,97.43839263916016,38.407501220703125,53.330467224121094,29.103246688842773,55.26851272583008
82.97100067138672,39.68029022216797,53.733001708984375,85.93758392333984,145.9425048828125,107.94314575195312,98.83172607421875,38.241519927978516,53.689517974853516,29.00847816467285,55.56004333496094
82.81099700927734,41.73432159423828,53.51649856567383,85.92900085449219,149.0647430419922,106.77356719970703,98.19667053222656,38.81694793701172,54.62651824951172,29.029876708984375,55.27620315551758
82.02799987792969,41.73432159423828,52.859500885009766,85.51818084716797,147.55426025390625,106.99459838867188,97.43839263916016,38.88776397705078,54.60901641845703,28.993192672729492,55.02301788330078
80.8604965209961,41.5475959777832,52.234500885009766,86.39978790283203,145.53729248046875,105.61317443847656,96.72752380371094,37.89625930786133,54.600250244140625,29.026824951171875,54.95397186279297
83.72799682617188,40.75398635864258,53.85749816894531,87.03321075439453,144.8096466064453,107.83264923095703,99.53313446044922,38.668670654296875,55.35334396362305,29.424238204956055,54.98465347290039
84.18900299072266,41.921058654785156,54.048500061035156,87.73509979248047,144.81886291503906,107.56556701660156,99.88384246826172,38.65981674194336,55.64234161376953,29.45481300354004,54.96164321899414
84.66100311279297,42.667972564697266,54.494998931884766,88.09457397460938,144.83729553222656,109.73898315429688,100.58525085449219,38.83906936645508,56.08894348144531,29.574037551879883,55.33757019042969
84.80999755859375,42.294517517089844,54.91299819946289,89.5240249633789,148.08843994140625,107.37217712402344,102.09231567382812,38.97186279296875,56.65815734863281,29.876684188842773,55.99734878540039
81.6084976196289,40.42721176147461,53.5260009765625,88.11170196533203,148.13446044921875,107.83264923095703,100.16820526123047,39.25736999511719,56.72821044921875,29.803316116333008,55.153438568115234
82.0009994506836,40.75398635864258,53.778499603271484,87.88915252685547,146.3753204345703,109.39822387695312,101.14446258544922,39.70001220703125,56.9821662902832,30.176273345947266,54.70079803466797
82.74649810791016,40.98740005493164,53.69499969482422,87.94051361083984,144.93858337402344,105.89867401123047,100.66107177734375,39.89918518066406,56.68442916870117,30.069276809692383,54.777523040771484
83.52850341796875,42.76133346557617,54.54949951171875,88.49687957763672,146.29246520996094,105.88023376464844,101.58049011230469,38.55358123779297,57.805335998535156,29.63517189025879,55.02301788330078
81.89450073242188,41.68764877319336,53.50400161743164,88.91629028320312,145.7122344970703,105.93550109863281,99.5994873046875,38.17069625854492,58.41831588745117,29.671859741210938,54.654762268066406
79.69400024414062,41.5475959777832,53.03099822998047,89.1645278930664,148.48446655273438,106.56173706054688,97.57110595703125,38.257015228271484,59.14516830444336,29.564865112304688,54.86191177368164
83.52149963378906,42.481239318847656,54.452999114990234,89.36994934082031,150.0501708984375,107.69451141357422,100.83167266845703,38.41857147216797,59.889522552490234,28.98096466064453,55.4603157043457
85.9365005493164,47.42961120605469,55.81850051879883,88.59102630615234,150.13302612304688,110.38362884521484,98.98338317871094,39.61147689819336,60.563812255859375,29.295841217041016,56.21984100341797
81.3115005493164,47.56966018676758,55.537498474121094,88.91629028320312,152.6658172607422,111.33221435546875,97.41944122314453,39.3547477722168,60.78273010253906,28.6935977935791,58.2452278137207
81.66549682617188,47.663028717041016,56.63999938964844,89.2330093383789,150.58438110351562,110.66912078857422,100.22506713867188,39.41672134399414,60.99290466308594,28.9717960357666,57.40131378173828
82.94049835205078,49.623695373535156,57.29949951171875,88.83927917480469,151.9566650390625,110.9085464477539,101.62786102294922,39.43220520019531,61.24686050415039,29.22553062438965,57.9920539855957
82.01300048828125,48.876773834228516,55.76150131225586,88.79647827148438,150.5106658935547,109.84025573730469,100.49993896484375,39.41672134399414,60.844032287597656,29.237751007080078,57.73886489868164
80.71849822998047,46.96278381347656,54.93550109863281,87.63235473632812,147.9962921142578,108.21019744873047,99.77958679199219,40.13600158691406,61.675933837890625,29.57097625732422,57.29389953613281
79.41100311279297,45.79570770263672,54.75299835205078,86.75928497314453,148.48446655273438,110.14418029785156,100.15869140625,40.503387451171875,62.026241302490234,29.21941375732422,57.38698959350586
79.55000305175781,46.82273483276367,54.7504997253418,86.34844970703125,148.60415649414062,108.67990112304688,99.76063537597656,40.503387451171875,62.210121154785156,29.408952713012695,57.480079650878906
81.90049743652344,46.589324951171875,56.06850051879883,87.82067108154297,154.29600524902344,110.04287719726562,101.3150863647461,40.560935974121094,61.82481002807617,29.644350051879883,58.48849105834961
82.0,48.409942626953125,56.007999420166016,88.24009704589844,154.1578826904297,110.19024658203125,101.2392578125,40.46797561645508,62.01747131347656,29.940887451171875,59.14785385131836
81.13249969482422,46.86940383911133,56.083499908447266,87.66659545898438,153.34738159179688,111.80598449707031,101.32456970214844,40.414852142333984,62.04373550415039,30.11819076538086,59.16336441040039
